time,SOC,volt_1_1,volt_1_2,volt_1_3,volt_1_4,volt_1_5,volt_1_6,volt_1_7,volt_1_8,volt_1_9,volt_1_10,volt_1_11,volt_1_12,volt_2_1,volt_2_2,volt_2_3,volt_2_4,volt_2_5,volt_2_6,volt_2_7,volt_2_8,volt_2_9,volt_2_10,volt_2_11,volt_2_12,volt_3_1,volt_3_2,volt_3_3,volt_3_4,volt_3_5,volt_3_6,volt_3_7,volt_3_8,volt_3_9,volt_3_10,volt_3_11,volt_3_12,volt_4_1,volt_4_2,volt_4_3,volt_4_4,volt_4_5,volt_4_6,volt_4_7,volt_4_8,volt_4_9,volt_4_10,volt_4_11,volt_4_12,volt_5_1,volt_5_2,volt_5_3,volt_5_4,volt_5_5,volt_5_6,volt_5_7,volt_5_8,volt_5_9,volt_5_10,volt_5_11,volt_5_12,volt_6_1,volt_6_2,volt_6_3,volt_6_4,volt_6_5,volt_6_6,volt_6_7,volt_6_8,volt_6_9,volt_6_10,volt_6_11,volt_6_12,volt_7_1,volt_7_2,volt_7_3,volt_7_4,volt_7_5,volt_7_6,volt_7_7,volt_7_8,volt_7_9,volt_7_10,volt_7_11,volt_7_12,temp_1_1,temp_1_2,temp_1_3,temp_1_4,temp_1_5,temp_1_6,temp_1_7,temp_1_8,temp_1_9,temp_1_10,temp_1_11,temp_1_12,temp_2_1,temp_2_2,temp_2_3,temp_2_4,temp_2_5,temp_2_6,temp_2_7,temp_2_8,temp_2_9,temp_2_10,temp_2_11,temp_2_12,temp_3_1,temp_3_2,temp_3_3,temp_3_4,temp_3_5,temp_3_6,temp_3_7,temp_3_8,temp_3_9,temp_3_10,temp_3_11,temp_3_12,temp_4_1,temp_4_2,temp_4_3,temp_4_4,temp_4_5,temp_4_6,temp_4_7,temp_4_8,temp_4_9,temp_4_10,temp_4_11,temp_4_12,temp_5_1,temp_5_2,temp_5_3,temp_5_4,temp_5_5,temp_5_6,temp_5_7,temp_5_8,temp_5_9,temp_5_10,temp_5_11,temp_5_12,temp_6_1,temp_6_2,temp_6_3,temp_6_4,temp_6_5,temp_6_6,temp_6_7,temp_6_8,temp_6_9,temp_6_10,temp_6_11,temp_6_12,temp_7_1,temp_7_2,temp_7_3,temp_7_4,temp_7_5,temp_7_6,temp_7_7,temp_7_8,temp_7_9,temp_7_10,temp_7_11,temp_7_12
1697354825.35,0.09,3.31,3.37,3.37,3.36,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.37,3.35,3.36,3.34,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.37,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.19,3.2,3.17,3.19,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.62,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354826.35,0.09,3.31,3.37,3.37,3.36,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.35,3.29,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.36,3.35,3.35,3.34,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.36,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.2,3.16,3.18,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.5,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354827.35,0.09,3.31,3.37,3.37,3.35,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.35,3.29,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.36,3.35,3.35,3.34,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.36,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.2,3.16,3.18,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,38.12,37.5,37.81,37.81,36.88,36.88,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354828.35,0.09,3.3,3.37,3.36,3.35,3.34,3.35,3.37,3.35,3.36,3.37,3.36,3.35,3.28,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.34,3.36,3.36,3.35,3.35,3.33,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.35,3.35,3.35,3.36,3.36,3.36,3.34,0,0,3.35,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.35,0,3.15,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,35.94,37.81,37.5,37.81,38.12,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354829.35,0.09,3.3,3.37,3.36,3.35,3.34,3.35,3.37,3.35,3.36,3.37,3.36,3.35,3.28,3.36,3.36,3.35,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.34,3.36,3.36,3.35,3.35,3.33,3.31,3.36,3.36,3.35,0,0,3.36,3.36,3.36,3.35,3.35,3.35,3.35,3.36,3.36,3.34,0,0,3.35,3.33,3.35,3.36,3.36,3.38,3.35,3.36,3.36,3.35,3.35,0,3.14,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.15,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,38.12,37.81,37.19,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354830.35,0.09,3.3,3.37,3.36,3.35,3.34,3.35,3.36,3.34,3.36,3.37,3.36,3.35,3.28,3.36,3.35,3.35,3.36,3.36,3.35,3.35,3.34,3.35,3.35,3.34,3.35,3.36,3.34,3.35,3.33,3.31,3.36,3.36,3.35,0,0,3.35,3.36,3.35,3.35,3.35,3.35,3.35,3.36,3.36,3.33,0,0,3.35,3.33,3.34,3.36,3.35,3.37,3.35,3.36,3.36,3.35,3.35,0,3.14,3.19,3.19,3.16,3.19,3.18,3.19,3.16,3.17,3.15,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.31,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.62,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,35.94,37.81,37.5,37.81,37.81,37.19,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354831.35,0.09,3.3,3.37,3.36,3.35,3.34,3.35,3.36,3.34,3.36,3.37,3.36,3.35,3.28,3.36,3.36,3.35,3.37,3.37,3.35,3.35,3.34,3.36,3.36,3.34,3.35,3.36,3.35,3.35,3.33,3.31,3.36,3.36,3.35,0,0,3.35,3.36,3.35,3.35,3.35,3.35,3.35,3.36,3.36,3.33,0,0,3.35,3.33,3.34,3.36,3.35,3.37,3.35,3.36,3.36,3.35,3.35,0,3.14,3.19,3.19,3.16,3.2,3.18,3.19,3.16,3.17,3.15,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,36.25,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,38.12,37.81,37.19,37.81,37.81,36.88,37.19,35,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354832.35,0.08,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.36,3.36,3.35,3.36,3.36,3.35,3.36,3.37,3.35,3.36,3.34,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.36,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,38.12,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354833.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.38,3.37,3.36,3.29,3.37,3.37,3.36,3.37,3.37,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.37,3.36,3.36,3.34,3.32,3.37,3.37,3.36,0,0,3.36,3.37,3.37,3.36,3.36,3.36,3.36,3.37,3.37,3.35,0,0,3.36,3.34,3.35,3.37,3.36,3.38,3.36,3.37,3.37,3.36,3.36,0,3.15,3.21,3.21,3.18,3.21,3.19,3.2,3.17,3.19,3.17,3.18,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,38.12,37.19,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354834.35,0.09,3.32,3.38,3.38,3.36,3.36,3.37,3.38,3.36,3.37,3.38,3.37,3.36,3.3,3.37,3.37,3.37,3.38,3.38,3.36,3.37,3.36,3.37,3.37,3.36,3.37,3.37,3.36,3.37,3.35,3.33,3.37,3.38,3.37,0,0,3.37,3.37,3.37,3.37,3.37,3.36,3.37,3.37,3.38,3.35,0,0,3.37,3.34,3.36,3.37,3.37,3.39,3.37,3.37,3.37,3.36,3.37,0,3.15,3.21,3.21,3.18,3.21,3.19,3.2,3.17,3.19,3.17,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,38.12,37.81,37.5,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354835.35,0.09,3.32,3.38,3.37,3.36,3.36,3.37,3.38,3.36,3.37,3.38,3.37,3.36,3.3,3.37,3.37,3.37,3.38,3.38,3.36,3.37,3.36,3.37,3.37,3.36,3.37,3.37,3.36,3.36,3.35,3.33,3.37,3.37,3.37,0,0,3.37,3.37,3.37,3.37,3.36,3.36,3.37,3.37,3.37,3.35,0,0,3.37,3.34,3.36,3.37,3.37,3.39,3.36,3.37,3.37,3.36,3.36,0,3.16,3.21,3.21,3.18,3.21,3.19,3.2,3.18,3.19,3.17,3.18,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,38.12,37.19,37.81,37.81,36.88,36.88,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354836.35,0.09,3.32,3.38,3.38,3.36,3.36,3.37,3.38,3.36,3.37,3.38,3.37,3.36,3.3,3.37,3.37,3.37,3.38,3.38,3.36,3.37,3.36,3.37,3.37,3.36,3.37,3.37,3.36,3.37,3.35,3.33,3.37,3.37,3.37,0,0,3.37,3.37,3.37,3.37,3.36,3.36,3.37,3.37,3.37,3.35,0,0,3.37,3.34,3.36,3.37,3.37,3.39,3.37,3.37,3.37,3.36,3.37,0,3.16,3.21,3.21,3.18,3.21,3.2,3.2,3.18,3.19,3.17,3.18,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.62,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354837.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.38,3.37,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.36,3.36,3.35,3.36,3.36,3.35,3.36,3.37,3.35,3.36,3.34,3.32,3.37,3.37,3.36,0,0,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.37,3.37,3.34,0,0,3.36,3.33,3.35,3.37,3.36,3.38,3.36,3.37,3.37,3.36,3.36,0,3.15,3.2,3.2,3.17,3.2,3.19,3.2,3.17,3.19,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354838.35,0.09,3.31,3.37,3.37,3.36,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.36,3.35,3.36,3.34,3.32,3.36,3.37,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.37,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.37,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354839.35,0.09,3.31,3.37,3.37,3.35,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.36,3.35,3.36,3.34,3.32,3.36,3.37,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.37,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.5,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354840.35,0.09,3.31,3.37,3.37,3.35,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.36,3.35,3.36,3.34,3.32,3.36,3.36,3.36,0,0,3.36,3.36,3.36,3.36,3.35,3.35,3.36,3.36,3.36,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.36,3.35,3.36,0,3.14,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.16,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,36.25,36.25,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.94,35.94,35.62,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.5,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354841.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.36,3.37,3.36,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.35,3.36,3.35,3.36,3.36,3.35,3.36,3.37,3.35,3.36,3.34,3.32,3.36,3.37,3.36,0,0,3.36,3.36,3.36,3.36,3.36,3.35,3.36,3.37,3.37,3.34,0,0,3.36,3.33,3.35,3.36,3.36,3.38,3.36,3.36,3.37,3.35,3.36,0,3.15,3.2,3.2,3.17,3.2,3.18,3.19,3.16,3.18,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,36.25,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.62,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354842.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.38,3.37,3.36,3.29,3.37,3.36,3.36,3.37,3.38,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.37,3.36,3.36,3.34,3.32,3.37,3.37,3.36,0,0,3.36,3.37,3.36,3.36,3.36,3.36,3.36,3.37,3.37,3.35,0,0,3.36,3.34,3.35,3.37,3.36,3.38,3.36,3.37,3.37,3.36,3.36,0,3.15,3.2,3.2,3.17,3.2,3.19,3.2,3.17,3.19,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,37.19,36.56,-0,-0,-0,-0,36.25,36.25,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,36.25,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.94,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,38.12,37.5,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354843.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.38,3.37,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.37,3.36,3.36,3.34,3.32,3.37,3.37,3.36,0,0,3.36,3.37,3.36,3.36,3.36,3.36,3.36,3.37,3.37,3.35,0,0,3.36,3.34,3.36,3.37,3.36,3.38,3.36,3.37,3.37,3.36,3.36,0,3.15,3.2,3.2,3.17,3.2,3.19,3.2,3.17,3.19,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.94,35.94,35.94,35.94,35.62,35.62,34.38,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35.31,35.31,35.62,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.5,37.81,37.81,37.19,37.81,37.81,37.19,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
1697354844.35,0.09,3.31,3.38,3.37,3.36,3.35,3.36,3.37,3.35,3.37,3.38,3.37,3.36,3.29,3.37,3.36,3.36,3.37,3.37,3.36,3.36,3.36,3.37,3.37,3.35,3.36,3.37,3.36,3.36,3.34,3.32,3.37,3.37,3.36,0,0,3.36,3.37,3.37,3.36,3.36,3.36,3.36,3.37,3.37,3.35,0,0,3.36,3.34,3.35,3.37,3.36,3.38,3.36,3.37,3.37,3.36,3.36,0,3.15,3.2,3.2,3.17,3.2,3.19,3.2,3.17,3.19,3.16,3.17,0,34.69,34.38,35.31,35.62,35.94,36.25,36.88,36.56,-0,-0,-0,-0,36.25,35.94,35.94,35.94,36.25,36.25,35.62,35.94,35.31,-0,34.69,34.38,-0,35.31,35,35.62,35.94,35.62,35.94,35.94,35.94,35.62,35.62,34.69,34.06,35.62,35.62,35.31,26.88,34.38,35.94,0,35,35.31,35,34.69,26.56,33.44,35.31,34.38,35,33.75,34.38,35.94,35,35.31,35.94,34.06,-0,35.31,-0,35.62,35.62,35.62,35.94,35.94,35.31,-0,35,32.81,36.25,37.81,37.81,37.81,37.81,37.19,37.81,37.81,36.88,37.19,35.31,-0,0,0,0,0,0,0,25.04,121.42,26.6,0.01,0,0,0
